cod_ine,nombre,concejales,concejales_hombres,concejales_mujeres,concejo,votacion,resultado
40602,Pazña,5,3,2,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""MSM"",""v"":1},{""s"":""UN"",""v"":1}]",,
40603,Antequera,,,,[],,
40701,Villa Huanuni,5,3,2,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""MSM"",""v"":2}]",,
40702,Machacamarca,11,5,6,"[{""s"":""MAS-IPSP"",""v"":2},{""s"":""MSM"",""v"":2},{""s"":""UN"",""v"":1}]",,
40801,Salinas de Garci Mendoza,5,4,1,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""J-L"",""v"":1}]",,
40802,Pampa Aullagas,,,,[],,
40901,Sabaya,5,3,2,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""MSM"",""v"":2}]",,
40902,Coipasa,5,3,2,"[{""s"":""MAS-IPSP"",""v"":4}]",,
40903,Chipaya,5,2,3,"[{""s"":""MAS-IPSP"",""v"":5}]",,
41001,Toledo,4,2,2,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""POA-S"",""v"":2}]",,
41101,Eucaliptus,4,3,1,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""MSM"",""v"":2}]",,
41201,Andamarca,5,3,2,"[{""s"":""MAS-IPSP"",""v"":5}]",,
41202,Belén de Andamarca,5,4,1,"[{""s"":""MAS-IPSP"",""v"":5}]",,
41301,Totora,5,3,2,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""MSM"",""v"":1},{""s"":""FPV"",""v"":1}]",,
41401,Santiago de Huari,5,2,3,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""MSM"",""v"":1}]",,
41501,La Rivera,5,2,3,"[{""s"":""MAS-IPSP"",""v"":4}]",,
41502,Todos Santos,,,,[],,
41503,Carangas,,,,[],,
41601,Santiago de Huayllamarca,5,2,3,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""UN"",""v"":1}]",,
50101,Potosí,5,3,2,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""AS"",""v"":6},{""s"":""FCRP"",""v"":1}]",,
50102,Tinguipaya,5,4,1,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""A.O.T."",""v"":2}]",,
50103,Villa de Yocalla,7,5,2,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""MSM"",""v"":1}]",,
50104,Belén de Urmiri,7,3,4,"[{""s"":""MAS-IPSP"",""v"":5}]",,
50201,Uncía,5,3,2,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""MSM"",""v"":2}]",,
50202,Chayanta,5,3,2,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""AS"",""v"":1},{""s"":""M.O.P."",""v"":1}]",,
50203,Llallagua,5,3,2,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""MSM"",""v"":3},{""s"":""AS"",""v"":1}]",,
50204,Chuquihuta Ayllu Jucumani,5,3,2,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""MSM"",""v"":1}]",,
50301,Betanzos,5,2,3,"[{""s"":""MAS-IPSP"",""v"":6},{""s"":""AS"",""v"":1}]",,
50302,Chaquí,5,4,1,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""A.A.O.Q."",""v"":1}]",,
50303,Tacobamba,4,4,0,"[{""s"":""MAS-IPSP"",""v"":5}]",,
50401,Colquechaca,5,2,3,"[{""s"":""MAS-IPSP"",""v"":7}]",,
50402,Ravelo,5,2,3,"[{""s"":""MAS-IPSP"",""v"":5}]",,
50403,Pocoata,5,3,2,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""M.O.P."",""v"":1}]",,
50404,Ocurí,5,3,2,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""M.O.P."",""v"":2}]",,
50501,San Pedro de Buena Vista,5,3,2,"[{""s"":""MAS-IPSP"",""v"":5},{""s"":""M.O.P."",""v"":2}]",,
50502,Toro Toro,7,4,3,"[{""s"":""MAS-IPSP"",""v"":5}]",,
